variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
full,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
no_ema,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
no_warmup,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
no_grad_balance,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
train_target,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
val_target,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
mask_mean,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
mask_noise,5,0.9490674164749237,0.007003268707412952,0.9490582370313858,0.9490674164749237,9.179443537932208e-06,5,0,0.0,1.0,0.39691775388648126,0.22320913626091682,0.015364832305249366,0.3815529215812319,,6.501686060654601,0.6236068064119674,2.1272333082389547,0.6293849807410874
no_fallback,5,0.9490582370313858,0.007013622309327205,0.9490582370313858,0.9218103566315996,-0.02724788039978616,0,5,1.0,0.0,0.1114179870703083,0.22320913626091682,0.5574932210149711,-0.44607523394466286,,6.524118977236829,0.6236251326990793,2.13134387946009,0.6265895316536774
no_feature_gates,5,0.9490582473317886,0.007013627393574417,0.9490582370313858,0.9490582467495636,9.718177995665655e-09,3,2,0.4,0.6,0.2926819421072423,0.22320913626091682,0.25057553993503345,0.042106402172208846,,6.501605967790451,0.6236085304080708,2.127230666688789,0.6293880910816589
