seed,tag,summary,metrics_source,importance_kind_eval,r2_final,r2_vanilla,r2_shap_raw,entropy_shap,gini_shap,n_eff_shap,mass3_shap,entropy_vanilla,gini_vanilla,n_eff_vanilla,mass3_vanilla,base_mse,del_top_k1,del_bottom_k1,del_ratio_k1,ins_gain_k1,del_top_k2,del_bottom_k2,del_ratio_k2,ins_gain_k2,del_top_k3,del_bottom_k3,del_ratio_k3,ins_gain_k3,del_top_k4,del_bottom_k4,del_ratio_k4,ins_gain_k4,insertion_baseline_mse,auc_deletion_top,auc_deletion_bottom,auc_insertion_gain_top,auc_del_top_bottom_ratio
42,sml_ea10_ckpt_s42,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214148_sml_ea10_ckpt_s42.json,shap,shap,0.9532353169852847,0.9532332813069075,0.9532353169852847,1.449015695231739,0.8112995111487793,2.8429903439298543,0.8723945308961055,2.4316954853843225,0.5314071238325195,8.85484168830812,0.49522172288105043,394.73258970288776,0.037059826781671745,-0.0007563740801401764,-48.99669066369945,-0.21810310166318914,0.09200436496638531,-0.0006680966145609091,-137.71116796417866,-0.1970480592914896,0.06217682155801185,0.007135419227040529,8.713828798407734,-0.039927390686557374,0.0867547496957286,0.00965818856985834,8.982507336571764,-0.03596802453176906,394.75324097172324,0.21608847476309734,0.010918229857338702,-0.3640110130755261,19.791530089290223
43,sml_ea10_ckpt_s43,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214214_sml_ea10_ckpt_s43.json,shap,shap,0.9504549459973808,0.9504482777730557,0.9504549459973808,2.1798452591726205,0.6218841035237361,5.227714574458774,0.6182939907143362,2.285008200487149,0.5857461316113322,6.881086457511058,0.54940125587356,403.8014439266034,0.03825315627642567,-0.0007022301807637632,-54.47381411219664,0.024210837881014413,0.03988262723112257,-0.0010776111469112948,-37.01022152791056,0.028614045163067203,0.03946386603820429,0.0022431003336578215,17.593446636538612,0.030939492009963487,0.014020677428106865,0.005289958783237125,2.650432262324103,-0.2432410822057136,403.8630902458222,0.10548341012159312,0.0034593534879832077,-0.04996158498931891,30.492232279100623
44,sml_ea10_ckpt_s44,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214240_sml_ea10_ckpt_s44.json,shap,shap,0.9541671047241952,0.9541631776421334,0.9541671047241952,2.5128735840533576,0.5087852807213056,9.683909710161034,0.45828683563216166,2.4201430751972604,0.5297060769369268,8.535463313829155,0.4599375628586926,401.5606194114059,0.0028615932918114595,-0.00013671917929514166,-20.930445366150558,-0.15657184866870466,0.06221770524598469,3.788417143368861e-05,1642.313959870413,-0.1930687916569127,0.03233344800634086,0.0047317395600430245,6.833311003113101,-0.23422684720981124,0.03389445433049332,0.00722843743744761,4.689043049637646,-0.23228923631660336,401.56446826152364,0.11292917706347794,0.008315482860552947,-0.621726181359378,13.580591643765109
45,sml_ea10_ckpt_s45,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214305_sml_ea10_ckpt_s45.json,shap,shap,0.9505996628876295,0.9505940044327843,0.9505996628876295,2.5600973956873108,0.4821085696279379,10.087173164591789,0.4478418838023646,2.372308396673645,0.5587223032574935,8.289133021360664,0.509770356574542,389.7963171316344,0.05509255985930395,-0.000335110621676904,-164.4011155123051,-0.0736275659594412,0.11767415382371382,-0.00016833680365380133,-699.039972059589,-0.1640346275742104,0.11786585381975101,0.007674943219285524,15.35722811710471,-0.15845160032768035,0.022289073569879747,0.010093320863802546,2.2082993167894087,-0.009932278507733372,389.81887873722746,0.2742308243580567,0.012385711536694544,-0.36426615013547803,22.140901919398452
46,sml_ea10_ckpt_s46,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214331_sml_ea10_ckpt_s46.json,shap,shap,0.936880051780128,0.9368524440020476,0.936880051780128,1.9343346070497451,0.7228474386836783,4.666642510131556,0.7212167910148694,2.47096600926289,0.5112644368178125,9.790842929985583,0.45187224231539913,405.21415648901905,0.0670440883907304,-0.000383745514113798,-174.70976493436882,-0.0666224572921692,0.23414836458113086,-0.00015405447095417912,-1519.9063334596801,-0.06252059678445221,0.2336367326004165,0.007143319936631087,32.70702343452596,-0.05198344392783838,0.1848694876273953,0.009609706161995746,19.237787762884498,-0.01169678721339551,405.2178202952342,0.5937418851906102,0.011602245789617882,-0.15366366296507294,51.17473771075748
47,sml_ea10_ckpt_s47,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214356_sml_ea10_ckpt_s47.json,shap,shap,0.9585720456746056,0.9585661368867952,0.9585720456746056,1.393412705246464,0.8307722699565461,2.841382064515134,0.8720547228012244,2.5172043509964213,0.4774036477888124,10.30333667981016,0.41217916901688073,405.8455797010462,0.18532840190539446,-0.0003995354298353959,-463.8597444176788,-0.038222143145048904,0.11939137189597204,0.0018720547972179702,63.7755753782539,-0.011269506404801177,0.0966111298516239,0.003149929705955401,30.67088438141829,-0.02192144540128993,0.1998957346349357,0.007282572677979715,27.448505280546133,0.002735262476846856,405.85493576514034,0.408614570017761,0.00846350312724553,-0.05093439214019213,48.27960288146855
48,sml_ea10_ckpt_s48,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214423_sml_ea10_ckpt_s48.json,shap,shap,0.9408951413419382,0.9408914721739265,0.9408951413419382,1.1877996034996856,0.8492200426084191,1.9929549572504188,0.886615935644023,2.5574375549158206,0.4559526875271813,11.352649713944437,0.3790081582684025,406.3072037338634,0.21133377687681332,3.502156619106245e-05,6034.389487022899,-0.0360651569154129,0.2142807023553246,0.0004276583921409838,501.05576271172083,-0.11878744757933646,0.20124309925063244,-0.0003108119120156516,-647.4755056620028,-0.0756225275145539,0.2088683623852603,0.0011074756101834282,188.59861136090154,-0.0020117509183705806,406.3181655991471,0.6256248712369938,0.0006880950683125775,-0.2134484290107821,909.2128386590638
49,sml_ea10_ckpt_s49,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214449_sml_ea10_ckpt_s49.json,shap,shap,0.9580054302123451,0.9580015550404996,0.9580054302123451,2.619062770954179,0.445395601765201,11.24190911879683,0.4066515644207144,2.39408962044503,0.5498306004947455,8.653975931155989,0.46482938847395494,409.97045505781966,0.21048727894304875,-5.542900998989353e-05,-3797.42093136515,-0.010841171687445694,0.20978604629056008,-0.0004657048841636424,-450.46993036756305,-0.011197553080933176,0.24390901700081713,0.004845715860028577,50.33498124857938,-0.24329098202554178,0.23360903318348392,0.006686681135761319,34.93646973820439,-0.14913243450808977,409.9723246148362,0.6757432193546435,0.007695637038750647,-0.3344753382042427,87.808613616286
50,sml_ea10_ckpt_s50,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214516_sml_ea10_ckpt_s50.json,shap,shap,0.9633956845891817,0.9633876741865236,0.9633956845891817,0.2783500836979652,0.9322734109665527,1.1054502890801294,0.9843268800812939,2.5644473572174156,0.46305016730349746,11.305871146943447,0.3878766183862713,405.6240644429545,0.054042294828718695,-0.00035101626161804234,-153.95951952073443,-0.22534310265905333,0.07448395590779455,-0.000560864055842103,-132.8021563599108,-0.227423083980284,0.04337063035825395,0.004406459676317809,9.8425115703438,-0.01394179979990895,0.030843353222508085,0.007204767359723974,4.280964488964259,-0.04641894744571573,405.6304313453329,0.1602974102916619,0.0072724711695286715,-0.37724590883257747,22.041670091627065
51,sml_ea10_ckpt_s51,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214542_sml_ea10_ckpt_s51.json,shap,shap,0.9586141454429037,0.9586094445891291,0.9586141454429037,1.433505322098976,0.7902940368264064,2.296256328784432,0.8246128359296827,2.3948567680461776,0.5469208891612842,8.681052409401445,0.4689248182436753,405.7288895871961,0.03927614666707768,-5.257677599956878e-05,-747.0246447675769,-0.01569833102996654,0.039013336307050395,0.0002136826482228571,182.57606056897032,-0.05399074648886426,0.03817422138826032,0.004661737332014582,8.188840052808036,-0.0432625559948292,0.03686013603936544,0.006149706528901788,5.993804071810579,-0.07501483234256057,405.74306077903435,0.11525569904853228,0.007923984856688548,-0.142609884169957,14.545169017669314
