seed,tag,summary,metrics_source,importance_kind_eval,r2_final,r2_vanilla,r2_shap_raw,entropy_shap,gini_shap,n_eff_shap,mass3_shap,entropy_vanilla,gini_vanilla,n_eff_vanilla,mass3_vanilla,base_mse,del_top_k1,del_bottom_k1,del_random_k1,del_top_rel_k1,del_bottom_rel_k1,del_random_rel_k1,del_ratio_k1,del_top_random_ratio_k1,ins_gain_k1,ins_gain_rel_k1,del_top_k2,del_bottom_k2,del_random_k2,del_top_rel_k2,del_bottom_rel_k2,del_random_rel_k2,del_ratio_k2,del_top_random_ratio_k2,ins_gain_k2,ins_gain_rel_k2,insertion_baseline_mse,auc_deletion_top,auc_deletion_bottom,auc_deletion_random,auc_deletion_top_rel,auc_deletion_bottom_rel,auc_deletion_random_rel,auc_insertion_gain_top,auc_insertion_gain_top_rel,auc_del_top_bottom_ratio,auc_del_top_random_ratio
42,sml_ea10_ckpt_s42,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214148_sml_ea10_ckpt_s42.json,shap,shap,0.9532353169852847,0.9532332813069075,0.9532353169852847,1.449015695231739,0.8112995111487793,2.8429903439298543,0.8723945308961055,2.4316954853843225,0.5314071238325195,8.85484168830812,0.49522172288105043,394.73258970288776,0.10359631012266846,-0.0009043433298074888,0.020192391778437013,0.0002624468129187011,-2.2910277828546634e-06,5.115461024800517e-05,-114.55418182746547,5.130462565022441,-0.21810310166318914,-0.0005525049043962418,0.12150059814877068,-0.00010486751665439442,0.08821127817435581,0.00030780483121554,-2.65667237491911e-07,0.0002234709787726206,-1158.6104370889543,1.3773816756995494,-0.1970480592914896,-0.0004991676795520064,394.75324097172324,0.11254845413571957,-0.0005046054232309416,0.05420183497639641,0.00028512582206712054,-1.2783475101732871e-06,0.00013731279451031288,-0.20757558047733937,-0.0005258362919741241,-223.04249850928034,2.0764694439340516
43,sml_ea10_ckpt_s43,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214214_sml_ea10_ckpt_s43.json,shap,shap,0.9504549459973808,0.9504482777730557,0.9504549459973808,2.1798452591726205,0.6218841035237361,5.227714574458774,0.6182939907143362,2.285008200487149,0.5857461316113322,6.881086457511058,0.54940125587356,403.8014439266034,0.03238869845165482,-0.0006979395100188412,0.0507674526380697,8.020946665446258e-05,-1.7284225218018286e-06,0.0001257238016397417,-46.406168490427824,0.6379815564495956,0.024210837881014413,5.994813209168921e-05,0.04198122721879827,-0.00040739738091133404,0.15956209568804525,0.00010396502501469222,-1.0089052108129242e-06,0.00039514988885737493,-103.04736674530174,0.2631027565632587,0.028614045163067203,7.08508547925249e-05,403.8630902458222,0.03718496283522654,-0.0005526684454650876,0.10516477416305747,9.20872458345774e-05,-1.3686638663073765e-06,0.00026043684524855833,0.026412441522040808,6.539949344210705e-05,-67.28258725033022,0.3535876259974452
44,sml_ea10_ckpt_s44,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214240_sml_ea10_ckpt_s44.json,shap,shap,0.9541671047241952,0.9541631776421334,0.9541671047241952,2.5128735840533576,0.5087852807213056,9.683909710161034,0.45828683563216166,2.4201430751972604,0.5297060769369268,8.535463313829155,0.4599375628586926,401.5606194114059,0.07252193556109887,0.00012099264819198652,0.03853219222469306,0.0001806002183864516,3.0130606026391026e-07,9.59561031686129e-05,599.3912526539016,1.8821128872273618,-0.15657184866870466,-0.00038990463809346544,0.10782537998409225,0.0010969400860858514,0.018835593676726603,0.0002685158224482739,2.7316923848103098e-06,4.690597824142999e-05,98.29650794378651,5.7245543638795695,-0.1930687916569127,-0.00048079152145297346,401.56446826152364,0.09017365777259556,0.0006089663671389189,0.028683892950709833,0.00022455802041736276,1.51649922253711e-06,7.143104070502144e-05,-0.17482032016280868,-0.00043534807977321945,148.07658105681284,3.1437036083074754
45,sml_ea10_ckpt_s45,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214305_sml_ea10_ckpt_s45.json,shap,shap,0.9505996628876295,0.9505940044327843,0.9505996628876295,2.5600973956873108,0.4821085696279379,10.087173164591789,0.4478418838023646,2.372308396673645,0.5587223032574935,8.289133021360664,0.509770356574542,389.7963171316344,0.027160768120381817,-0.00017938110266868534,0.01711159618014335,6.967938619904801e-05,-4.6019188685178825e-07,4.389881440148321e-05,-151.41376581880635,1.5872726210259953,-0.0736275659594412,-0.00018887634738971306,0.14141099967844184,0.00011273532243194495,0.12596637608567107,0.00036278177464331174,2.892159763373903e-07,0.00032315948239996286,1254.3628329926917,1.1226090967413724,-0.1640346275742104,-0.00042079703298511577,389.81887873722746,0.08428588389941183,-3.3322890118370196e-05,0.07153898613290721,0.00021623058042117988,-8.548795525719899e-08,0.00018352914840072304,-0.1188310967668258,-0.00030483669018741444,-2529.369035200097,1.1781811352714011
46,sml_ea10_ckpt_s46,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214331_sml_ea10_ckpt_s46.json,shap,shap,0.936880051780128,0.9368524440020476,0.936880051780128,1.9343346070497451,0.7228474386836783,4.666642510131556,0.7212167910148694,2.47096600926289,0.5112644368178125,9.790842929985583,0.45187224231539913,405.21415648901905,0.037766073469242656,-0.0002711267394488459,0.01091003677356639,9.320028154116572e-05,-6.690949343873491e-07,2.692412542566739e-05,-139.29306155972537,3.461589933159839,-0.0666224572921692,-0.00016441146947493361,0.18754029727733723,0.0006969563348775409,0.04430733538367804,0.00046281773297922514,1.719970350780245e-06,0.00010934300955223072,269.0847153878074,4.232714417355613,-0.06252059678445221,-0.00015428886305864016,405.2178202952342,0.11265318537328994,0.00021291479771434751,0.027608686078622213,0.00027800900726019544,5.25437708196448e-07,6.813356748894905e-05,-0.0645715270383107,-0.0001593501662667869,529.0998373693537,4.080353010947468
47,sml_ea10_ckpt_s47,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214356_sml_ea10_ckpt_s47.json,shap,shap,0.9585720456746056,0.9585661368867952,0.9585720456746056,1.393412705246464,0.8307722699565461,2.841382064515134,0.8720547228012244,2.5172043509964213,0.4774036477888124,10.30333667981016,0.41217916901688073,405.8455797010462,0.10687651650744101,-0.00018548451987498993,0.008503650424472653,0.000263342812766787,-4.5703225352761267e-07,2.095292113502034e-05,-576.201815416585,12.568310215021633,-0.038222143145048904,-9.417685920953577e-05,0.16200252134058246,0.0022393302351702005,0.011231676395254908,0.0003991728121319352,5.517690341286283e-06,2.7674753544262704e-05,72.34418520496834,14.423716961307806,-0.011269506404801177,-2.7767326233338145e-05,405.85493576514034,0.13443951892401174,0.0010269228576476053,0.00986766340986378,0.0003312578124493611,2.530329043879335e-06,2.431383733964152e-05,-0.02474582477492504,-6.097209272143696e-05,130.91491516807832,13.624250577497492
48,sml_ea10_ckpt_s48,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214423_sml_ea10_ckpt_s48.json,shap,shap,0.9408951413419382,0.9408914721739265,0.9408951413419382,1.1877996034996856,0.8492200426084191,1.9929549572504188,0.886615935644023,2.5574375549158206,0.4559526875271813,11.352649713944437,0.3790081582684025,406.3072037338634,0.13850561115430082,-1.6353342687125405e-05,0.03329359406831145,0.000340888888706545,-4.024871461013283e-08,8.194192414594527e-05,-8469.560154995292,4.16012794731492,-0.0360651569154129,-8.876087748189152e-05,0.18784355742707248,0.0017182936576318752,0.02875883466083451,0.00046231904258855333,4.229050437307472e-06,7.078101100976752e-05,109.3198223036193,6.531681816591732,-0.11878744757933646,-0.00029235081676492363,406.3181655991471,0.16317458429068665,0.0008509701574723749,0.03102621436457298,0.00040160396564754917,2.0944008613486695e-06,7.63614675778564e-05,-0.07742630224737468,-0.00019055584712340758,191.75124141087468,5.2592489166756655
49,sml_ea10_ckpt_s49,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214449_sml_ea10_ckpt_s49.json,shap,shap,0.9580054302123451,0.9580015550404996,0.9580054302123451,2.619062770954179,0.445395601765201,11.24190911879683,0.4066515644207144,2.39408962044503,0.5498306004947455,8.653975931155989,0.46482938847395494,409.97045505781966,0.11159795431746034,-0.00017681233714483824,0.05027948041424679,0.0002722097481432436,-4.3128068123811824e-07,0.00012264171672360038,-631.1661095074461,2.219552656387819,-0.010841171687445694,-2.6443667136875176e-05,0.11195206859747486,-0.00010776653925859137,0.014563098988162437,0.0002730735037520827,-2.62864159914627e-07,3.552231339721423e-05,-1038.83886785748,7.687379498057887,-0.011197553080933176,-2.7312948725144085e-05,409.9723246148362,0.1117750114574676,-0.0001422894382017148,0.032421289701204614,0.0002726416259476632,-3.470724205763726e-07,7.908201506040731e-05,-0.011019362384189435,-2.6878307931009632e-05,-785.5467957119768,3.447580663327746
50,sml_ea10_ckpt_s50,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214516_sml_ea10_ckpt_s50.json,shap,shap,0.9633956845891817,0.9633876741865236,0.9633956845891817,0.2783500836979652,0.9322734109665527,1.1054502890801294,0.9843268800812939,2.5644473572174156,0.46305016730349746,11.305871146943447,0.3878766183862713,405.6240644429545,0.11716102655611849,-0.00015931842358440917,-0.00021299408365393901,0.00028884140963632423,-3.9277359888201294e-07,-5.251021877768626e-07,-735.3890696102322,-550.0670492638766,-0.22534310265905333,-0.0005555379607779161,0.25002621993508,0.00029868221594142597,0.031444432258979305,0.0006163988822468943,7.363523077744585e-07,7.752112119423196e-05,837.0977773481312,7.951366965950893,-0.227423083980284,-0.0005606657351274197,405.6304313453329,0.18359362324559925,6.96818961785084e-05,0.015615719087662683,0.0004526201459416093,1.7178935444622277e-07,3.849800950322755e-05,-0.22638309331966866,-0.0005581018479526679,2634.739160090263,11.756975276206896
51,sml_ea10_ckpt_s51,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214542_sml_ea10_ckpt_s51.json,shap,shap,0.9586141454429037,0.9586094445891291,0.9586141454429037,1.433505322098976,0.7902940368264064,2.296256328784432,0.8246128359296827,2.3948567680461776,0.5469208891612842,8.681052409401445,0.4689248182436753,405.7288895871961,0.04211570869205161,-0.00016221837188368227,0.0040528599245703845,0.00010380258781892909,-3.998196235144334e-07,9.98908391436929e-06,-259.6235461040996,10.391602341431625,-0.01569833102996654,-3.869032534980489e-05,0.1348568530743819,0.0017727196679970803,0.030900506671741823,0.0003323816877116885,4.369222191204348e-06,7.616047923819546e-05,76.07342290655433,4.364227891232049,-0.05399074648886426,-0.0001330663459411995,405.74306077903435,0.08848628088321675,0.000805250648056699,0.017476683298156104,0.0002180921377653088,1.9847012838449572e-06,4.3074781576282373e-05,-0.0348445387594154,-8.58783356455022e-05,109.88663093519132,5.063104902031926
