,importance
weather_temperature,0.0047430713776984825
co2_comedor_sensor,0.009918824138283149
co2_habitacion_sensor,0.007719731372322616
humedad_comedor_sensor,0.014112030960496794
humedad_habitacion_sensor,0.035757511515578884
lighting_comedor_sensor,0.034508305169128964
lighting_habitacion_sensor,0.03014925595443625
precipitacion,0.004881574410212891
meteo_exterior_crepusculo,0.017697886300185095
meteo_exterior_viento,0.008211900442119347
meteo_exterior_sol_oest,0.1333545881807777
meteo_exterior_sol_est,0.37546699799029015
meteo_exterior_sol_sud,0.12475880844151516
meteo_exterior_piranometro,0.10131294886894414
temperature_exterior_sensor,0.05704432859826175
humedad_exterior_sensor,0.02683175500376877
day_of_week,0.006222355542292423
hour,0.0059480301255689216
minute,0.001360095608118536
