num_rules,reg_lambda,seed,mse,rmse,mae,r2,ok
8,0.01,42,5.124911510850614e-06,0.0022638267404663753,0.0015838662662114602,0.9623107201128925,True
8,0.1,42,9.328297014695864e-06,0.0030542260909591917,0.0021105614083054003,0.9313984648685985,True
8,0.05,42,9.367155772392219e-06,0.003060580953412639,0.002168218457454116,0.9311126924036918,True
12,0.1,42,2.2081531896829218e-05,0.00469909905160864,0.0031538988611015933,0.8376094817961919,True
12,0.05,42,3.0404574745488184e-05,0.005514034343880004,0.0038413698278714006,0.7764007193090066,True
16,0.1,42,3.3450725201203356e-05,0.005783660190675396,0.00390890164099631,0.7539989243003286,True
12,0.01,42,3.566229374563837e-05,0.0059717915021908095,0.003671568406791827,0.7377347555075103,True
16,0.05,42,6.3280498065171e-05,0.007954904026144564,0.004304214121958776,0.5346268129851175,True
16,0.01,42,8.319173276111152e-05,0.009120950211524648,0.0059512527479404454,0.38819694863246745,True
